TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 7.120641320943832397E-02 1.171734556555747986E-02
 7.124393433332443237E-02 1.173121761530637741E-02
 7.128149271011352539E-02 1.174496859312057495E-02
 7.131909579038619995E-02 1.175860036164522171E-02
 7.135675102472305298E-02 1.177211105823516846E-02
 7.139444351196289062E-02 1.178550068289041519E-02
 7.143217325210571289E-02 1.179877016693353653E-02
 7.146995514631271362E-02 1.181191857904195786E-02
 7.150777429342269897E-02 1.182494685053825378E-02
 7.154563069343566895E-02 1.183785311877727509E-02
 7.158353179693222046E-02 1.185063831508159637E-02
 7.162147760391235352E-02 1.186330243945121765E-02
 7.165946066379547119E-02 1.187584549188613892E-02
 7.169748097658157349E-02 1.188826654106378555E-02
 7.173554599285125732E-02 1.190056558698415756E-02
